"zipcode","latitude","longitude"
"99250-000",-28.7178,-51.9342
"90040-193",-30.0379,-51.2107
"18900-000",-22.9077,-49.6176
"25803-010",-22.1183,-43.2095
"57035-000",-9.66228,-35.7009
"49015-250",-10.92,-37.0533
"57051-180",-9.65937,-35.7327
"38600-000",-17.2223,-46.8752
"98920-000",-27.6301,-54.3072
"37464-000",-22.2978,-44.9267
"29111-420",-20.3539,-40.3537
"36015-460",-21.7609,-43.3516
"60135-102",-3.74717,-38.4968
"49500-000",-10.6859,-37.4247
"49020-600",-10.9292,-37.0488
"40275-160",-12.9907,-38.4863
"86870-000",-24.25,-51.6805
"15900-000",-21.4064,-48.5055
"39400-023",-16.7369,-43.8652
"07500-000",-23.3164,-46.2236
"37750-000",-21.661,-45.925
"45028-075",-14.8623,-40.8222
"03512-000",-23.5357,-46.5259
"83702-040",-25.5874,-49.405
"85550-000",-25.9888,-52.5542
"13015-310",-22.9096,-47.0577
"86084-590",-23.2597,-51.1546
"38060-340",-19.7502,-47.9325
"30430-110",-19.9321,-43.9597
"30160-041",-19.9264,-43.9406
"29730-000",-19.5127,-41.0123
"35660-108",-19.8601,-44.6077
"82515-000",-25.3974,-49.234
"11705-000",-24.0276,-46.4844
"91340-001",-30.0255,-51.1633
"31330-290",-19.8814,-43.999
"59600-150",-5.19108,-37.3439
"15015-760",-20.8178,-49.393
"16010-380",-21.2101,-50.4381
"89820-000",-26.8831,-52.4
"58900-000",-6.88634,-38.5614
"58800-005",-6.76761,-38.2278
"44003-144",-12.2624,-38.9657
"95680-000",-29.3674,-50.813
"17580-000",-22.1086,-50.1743
"37550-000",-22.2582,-45.9301
"37640-000",-22.8549,-46.3199
"87020-020",-23.4112,-51.9395
"87013-060",-23.4228,-51.9345
"16370-000",-21.5384,-49.8577
"69040-000",-3.10641,-60.0264
"29215-002",-20.6667,-40.5
"07400-000",-23.3965,-46.3214
"79400-000",-18.4891,-54.7537
"13188-092",-22.9022,-47.2376
"15850-000",-21.1944,-49.2952
"50710-100",-8.04965,-34.9086
"31275-050",-19.8584,-43.9639
"07901-170",-23.2801,-46.7433
"78987-000",-11.7242,-61.7597
"07851-071",-23.3228,-46.725
"85990-000",-24.1571,-54.1004
"96400-110",-31.3285,-54.1073
"58102-555",-7.23072,-35.8817
"15600-000",-20.2834,-50.2466
"13390-000",-22.8434,-47.6072
"79006-001",-20.4832,-54.6398
"13180-200",-22.8216,-47.2664
"60325-971",-3.73506,-38.5612
"60712-023",-3.7986,-38.5707
"60822-300",-3.79621,-38.4886
"18740-000",-23.5264,-49.2442
"89887-000",-27.0723,-53.158
"95560-000",-29.3391,-49.727
"95995-000",-29.6014,-52.1941
"30220-000",-19.9454,-43.9195
"29060-130",-20.2865,-40.2966
"90680-000",-30.0492,-51.1853
"14870-300",-21.2526,-48.325
"37564-000",-22.2751,-46.1662
"32560-000",-19.9691,-44.2023
"11680-000",-23.4326,-45.0698
"79040-120",-20.4666,-54.5848
