"code","latitude","longitude"
21666,-23.5261,-46.198
21706,-23.5877,-46.8327
21729,-15.8947,-47.8526
21748,-29.8004,-51.8645
21751,-22.9949,-47.5095
21760,-23.0867,-46.9495
21762,-23.5308,-47.1354
21764,-9.974,-67.8076
21777,-22.8923,-46.9922
21840,-23.1675,-47.7474
21892,-22.8882,-43.2843
21928,-23.9839,-46.3015
21937,-23.4903,-46.9551
21963,-25.4922,-54.5602
22010,-23.6302,-46.5665
22012,-23.5699,-46.6925
22018,-3.03238,-59.9912
22019,-21.6043,-48.3635
22025,-23.5622,-46.6747
22042,-23.5343,-46.4867
22118,-16.7201,-49.3105
22121,-17.5787,-52.5424
22133,-21.7651,-41.3211
22150,-29.6691,-52.7883
22161,-15.7801,-47.9292
22162,-20.3738,-40.3076
22163,-16.3355,-48.9434
22166,-22.3325,-49.056
22191,-23.6036,-51.6427
22202,-22.5517,-45.7809
22204,-23.7119,-46.5484
22206,-2.5074,-44.2408
22209,-29.7127,-51.1405
22212,-22.8987,-47.1749
22229,-15.6731,-48.1925
22231,-15.8739,-47.9712
22254,-23.4465,-46.685
22255,-29.6539,-51.1724
22260,-27.7747,-54.2363
22271,-22.4238,-47.5582
22272,-27.3461,-51.6072
22292,-22.3462,-49.061
22294,-15.5952,-56.1016
22327,-20.2833,-50.3996
22334,-22.2499,-45.7198
22388,-26.7474,-49.1738
22403,-26.7258,-53.5181
22410,-27.091,-48.612
22415,-22.436,-46.822
22425,-27.1546,-48.5427
22431,-20.7958,-49.2206
22447,-22.2879,-46.6134
22456,-23.0459,-49.1691
22460,-22.7233,-47.3191
22462,-25.8834,-48.5762
22465,-25.092,-50.1619
22466,-5.93741,-35.2567
22470,-23.0612,-54.2011
22483,-9.3705,-40.5164
22488,-21.2646,-48.687
22490,-23.4929,-46.6963
22496,-23.1123,-47.7229
22499,-23.215,-47.5238
22500,-15.7714,-48.2488
22505,-22.2838,-46.3672
22543,-20.4201,-49.9702
22553,-18.9683,-49.4641
22555,-23.4199,-51.4254
22556,-23.5332,-46.6579
22558,-23.3169,-51.1693
22559,-23.4635,-46.5849
22590,-20.426,-51.3427
22594,-7.87232,-35.4398
22596,-21.3691,-46.5208
22600,-25.7346,-53.0585
22610,-22.2101,-49.9392
22611,-23.4333,-46.404
22641,-21.7883,-46.5627
22645,-22.8884,-47.0776
22648,-7.84594,-35.2549
22649,-8.11298,-35.2972
22651,-8.11298,-35.2972
22662,-15.8259,-47.9806
